021229DC andeq    sb, ip, #0x2c400
02125A00 ldr      r0, [r1, #0xfc]
02125A04 add      r0, r0, #0x8000
02125A08 str      r0, [r1, #0xfc]
02125A0C ldr      r1, [r7, #0x30]
02125A10 ldr      r0, [r1, #0x100]
02125A14 add      r0, r0, #0x8000
02125A18 str      r0, [r1, #0x100]
02125A1C b        #0x2125a80
02125A20 ldr      r1, [r7, #0x30]
02125A24 ldr      r0, [r1, #0xfc]
02125A28 add      r0, r0, #0x10000
02125A2C str      r0, [r1, #0xfc]
02125A30 ldr      r1, [r7, #0x30]
02125A34 ldr      r0, [r1, #0x100]
02125A38 add      r0, r0, #0x10000
02125A3C str      r0, [r1, #0x100]
02125A40 ldr      r1, [r7, #0x30]
02125A44 ldr      r0, [r1, #0x1d0]
02125A48 sub      r0, r0, #0x10000
02125A4C str      r0, [r1, #0x1d0]
02125A50 ldr      r1, [r7, #0x30]
02125A54 ldr      r0, [r1, #0x1d4]
02125A58 sub      r0, r0, #0x10000
02125A5C str      r0, [r1, #0x1d4]
02125A60 ldr      r1, [r7, #0x30]
02125A64 ldr      r0, [r1, #0x2a4]
02125A68 add      r0, r0, #0x8000
02125A6C str      r0, [r1, #0x2a4]
02125A70 ldr      r1, [r7, #0x30]
02125A74 ldr      r0, [r1, #0x2a8]
02125A78 add      r0, r0, #0x8000
02125A7C str      r0, [r1, #0x2a8]
02125A80 mov      r0, #1
02125A84 pop      {r3, r4, r5, r6, r7, pc}
02125A88 mvn      r0, #0
02125A8C pop      {r3, r4, r5, r6, r7, pc}
02125A90 andeq    fp, pc, #8, #20
02125A94 andseq   sl, r0, #48, #14
02125A98 andseq   sl, r2, #184, #24
02125A9C andseq   sl, r2, #72, #24
02125AA0 andeq    fp, pc, #20, #20
02125AA4 andseq   fp, r2, #12, #22
02125AA8 mov      r1, #0
02125AAC str      r1, [r0, #0x34]
02125AB0 str      r1, [r0, #0x38]
02125AB4 mov      r0, r1
02125AB8 bx       lr
02125ABC mov      r0, #0
02125AC0 bx       lr
02125AC4 mov      r0, #0
02125AC8 bx       lr
02125ACC mvn      r0, #0
02125AD0 bx       lr
02125AD4 push     {r4, lr}
02125AD8 mov      r4, r0
02125ADC ldr      r0, [r4, #0x30]
02125AE0 mov      r1, #0
02125AE4 bl       #0x2047904
02125AE8 mov      r0, #1
02125AEC str      r0, [r4, #0x34]
02125AF0 mov      r0, #0
02125AF4 strh     r0, [r4, #0x10]
02125AF8 pop      {r4, pc}
02125AFC mov      r0, #0
02125B00 bx       lr
02125B04 mov      r0, #0
02125B08 bx       lr
02125B0C push     {r4, lr}
02125B10 mov      r4, r0
02125B14 ldr      r0, [r4, #0x40]
02125B18 cmp      r0, #0
02125B1C beq      #0x2125b28
02125B20 cmp      r0, #1
02125B24 b        #0x2125b58
02125B28 ldrsb    r0, [r4, #0xe]
02125B2C cmp      r0, #0
02125B30 ldreq    r1, [r4, #0x30]
02125B34 ldreq    r0, [r1, #0x150]
02125B38 cmpeq    r0, #0
02125B3C bne      #0x2125b58
02125B40 add      r0, r1, #0xd4
02125B44 mov      r1, #4
02125B48 bl       #0x2047904
02125B4C ldrsb    r0, [r4, #0xe]
02125B50 add      r0, r0, #1
02125B54 strb     r0, [r4, #0xe]
02125B58 mvn      r0, #0
02125B5C pop      {r4, pc}
02125B60 push     {r4, lr}
02125B64 mov      r4, r0
02125B68 ldr      r0, [r4, #0x40]
02125B6C cmp      r0, #0
02125B70 beq      #0x2125b80
02125B74 cmp      r0, #1
02125B78 beq      #0x2125ba0
02125B7C b        #0x2125bdc
02125B80 ldr      r0, [r4, #0x30]
02125B84 mov      r1, #1
02125B88 bl       #0x2047904
02125B8C ldr      r0, [r4, #0x30]
02125B90 mov      r1, #2
02125B94 add      r0, r0, #0xd4
02125B98 bl       #0x2047904
02125B9C b        #0x2125bdc
02125BA0 ldr      r0, [r4, #0x30]
02125BA4 mov      r1, #1
02125BA8 bl       #0x2047904
02125BAC ldr      r0, [r4, #0x30]
02125BB0 mov      r1, #2
02125BB4 add      r0, r0, #0xd4
02125BB8 bl       #0x2047904
02125BBC ldr      r0, [r4, #0x30]
02125BC0 mov      r1, #3
02125BC4 add      r0, r0, #0x1a8
02125BC8 bl       #0x2047904
02125BCC ldr      r0, [r4, #0x30]
02125BD0 mov      r1, #7
02125BD4 add      r0, r0, #0x27c
02125BD8 bl       #0x2047904
02125BDC mov      r0, #1
02125BE0 str      r0, [r4, #0x38]
02125BE4 mov      r0, #0
02125BE8 strb     r0, [r4, #0xe]
02125BEC pop      {r4, pc}
02125BF0 mov      r0, #0
02125BF4 bx       lr
02125BF8 mov      r0, #0
02125BFC bx       lr
